COUNTY,K_count_1990,K_count_1991,K_count_1992,K_count_1993,K_count_1994,K_count_1995,K_count_1996,K_count_1997,K_count_1998,K_count_1999,K_count_2000,K_count_2001,K_count_2002,K_count_2003,K_count_2004,K_count_2005,K_count_2006,K_count_2007,K_count_2008,K_count_2009,K_count_2010,K_count_2011,K_count_2012,K_count_2013,K_count_2014,K_count_2015,K_count_2016,K_count_2017,K_count_2018,K_count_2019,K_med1990,K_med1991,K_med1992,K_med1993,K_med1994,K_med1995,K_med1996,K_med1997,K_med1998,K_med1999,K_med2000,K_med2001,K_med2002,K_med2003,K_med2004,K_med2005,K_med2006,K_med2007,K_med2008,K_med2009,K_med2010,K_med2011,K_med2012,K_med2013,K_med2014,K_med2015,K_med2016,K_med2017,K_med2018,K_med2019,P_count_1990,P_count_1991,P_count_1992,P_count_1993,P_count_1994,P_count_1995,P_count_1996,P_count_1997,P_count_1998,P_count_1999,P_count_2000,P_count_2001,P_count_2002,P_count_2003,P_count_2004,P_count_2005,P_count_2006,P_count_2007,P_count_2008,P_count_2009,P_count_2010,P_count_2011,P_count_2012,P_count_2013,P_count_2014,P_count_2015,P_count_2016,P_count_2017,P_count_2018,P_count_2019,P_med1990,P_med1991,P_med1992,P_med1993,P_med1994,P_med1995,P_med1996,P_med1997,P_med1998,P_med1999,P_med2000,P_med2001,P_med2002,P_med2003,P_med2004,P_med2005,P_med2006,P_med2007,P_med2008,P_med2009,P_med2010,P_med2011,P_med2012,P_med2013,P_med2014,P_med2015,P_med2016,P_med2017,P_med2018,P_med2019,0
HARLAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0
HARRISON,0,1,9,10,9,12,4,4,8,10,0,1,4,2,0,15,0,1,6,10,3,9,1,14,0,4,21,12,2,8,0,373,294,186,254,198,379,322,225,292,0,279,350,286,0,178,0,246,366,324,269,285,147,391,0,308,252,258,168,360,0,1,9,10,9,12,4,4,8,10,0,1,4,2,0,15,0,1,6,10,3,9,1,14,0,4,21,12,2,8,0,92,97,48,74,80,28,106,54,51,0,23,216,210,0,32,0,18,34,54,14,42,61,92,0,114,70,204,16,114,0
HART,1,5,1,2,0,1,0,0,0,0,0,2,1,1,0,1,0,6,3,0,1,3,7,0,1,12,7,3,7,1,687,301,172,417,0,295,0,0,0,0,0,257,160,458,0,364,0,430,301,0,176,349,148,0,197,212,139,161,122,435,1,5,1,2,0,1,0,0,0,0,0,2,1,1,0,1,0,6,3,0,1,3,7,0,1,12,7,3,7,1,149,49,12,74,0,75,0,0,0,0,0,46,33,145,0,160,0,110,18,0,101,97,29,0,20,50,12,9,18,26,0
HENDERSON,0,0,0,0,0,0,1,0,1,16,8,11,14,39,21,13,16,7,2,0,0,2,4,0,3,0,2,1,1,0,0,0,0,0,0,0,236,0,301,256,205,236,265,262,223,208,210,136,279,0,0,530,164,0,160,0,234,504,243,0,0,0,0,0,0,0,1,0,1,16,8,11,14,39,21,13,16,7,2,0,0,2,4,0,3,0,2,1,1,0,0,0,0,0,0,0,17,0,126,56,48,49,70,48,45,38,54,18,146,0,0,74,19,0,14,0,62,79,38,0,0
HENRY,0,0,1,0,0,1,0,5,1,1,11,1,5,1,20,5,1,0,2,7,6,1,7,2,3,3,0,3,0,5,0,0,232,0,0,238,0,304,259,126,252,129,492,482,262,267,305,0,306,328,212,468,215,222,323,206,0,340,0,213,0,0,1,0,0,1,0,5,1,1,11,1,5,1,20,5,1,0,2,7,6,1,7,2,3,3,0,3,0,5,0,0,128,0,0,30,0,120,183,34,31,169,15,329,34,23,202,0,184,265,90,190,216,38,222,83,0,289,0,183,0
HICKMAN,4,6,9,2,1,0,0,0,4,1,3,1,3,1,0,6,8,8,1,0,3,2,2,0,1,2,0,2,2,2,326,261,433,323,225,0,0,0,501,319,281,738,1005,343,0,735,326,318,1203,0,164,443,282,0,570,276,0,200,372,412,4,6,9,2,1,0,0,0,4,1,3,1,3,1,0,6,8,8,1,0,3,2,2,0,1,2,0,2,2,2,43,76,93,74,62,0,0,0,133,95,154,412,455,217,0,296,108,184,655,0,174,369,140,0,326,132,0,230,198,188,0
HOPKINS,6,9,3,9,3,6,1,2,18,60,69,41,8,25,25,3,1,13,4,3,12,4,3,2,11,9,5,6,2,1,202,248,216,211,147,210,206,181,244,258,232,261,242,243,219,183,243,165,178,175,208,292,168,242,215,126,257,233,262,297,6,9,3,9,3,6,1,2,18,60,69,41,8,25,25,3,1,13,4,3,12,4,3,2,11,9,5,6,2,1,54,49,43,22,31,43,6,28,32,29,40,57,68,37,46,23,39,36,20,24,81,45,66,78,21,16,118,20,47,11,0
JACKSON,0,0,0,0,0,1,0,0,0,1,1,0,3,1,2,0,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,194,0,0,0,90,186,0,146,167,233,0,170,267,290,0,0,0,0,128,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,3,1,2,0,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,142,18,0,44,9,120,0,64,109,111,0,0,0,0,20,0,0,0,0,0,0,0
JEFFERSON,0,1,0,2,0,0,0,0,0,4,5,0,6,1,0,0,1,1,0,0,0,1,3,0,0,0,0,0,0,2,0,463,0,352,0,0,0,0,0,173,236,0,252,733,0,0,264,475,0,0,0,161,182,0,0,0,0,0,0,332,0,1,0,2,0,0,0,0,0,4,5,0,6,1,0,0,1,1,0,0,0,1,3,0,0,0,0,0,0,2,0,187,0,94,0,0,0,0,0,22,22,0,26,459,0,0,63,564,0,0,0,181,17,0,0,0,0,0,0,26,0
JESSAMINE,0,0,0,0,0,0,0,2,3,0,0,1,0,6,1,3,0,8,2,5,0,0,0,1,0,0,0,0,3,1,0,0,0,0,0,0,0,436,1124,0,0,244,0,422,304,353,0,874,614,396,0,0,0,296,0,0,0,0,551,397,0,0,0,0,0,0,0,2,3,0,0,1,0,6,1,3,0,8,2,5,0,0,0,1,0,0,0,0,3,1,0,0,0,0,0,0,0,316,226,0,0,338,0,270,640,49,0,313,257,278,0,0,0,606,0,0,0,0,676,301,0
JOHNSON,0,0,2,0,0,1,0,0,0,1,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,204,0,0,244,0,0,0,380,232,0,0,150,0,0,0,218,0,0,0,0,0,0,0,0,0,180,0,0,0,0,2,0,0,1,0,0,0,1,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,212,0,0,48,0,0,0,133,104,0,0,30,0,0,0,66,0,0,0,0,0,0,0,0,0,46,0,0,0
KENTON,0,1,0,2,0,1,0,0,0,0,1,0,7,1,5,0,3,1,1,0,5,4,2,0,1,0,3,0,0,4,0,425,0,226,0,208,0,0,0,0,153,0,322,595,270,0,196,246,731,0,279,103,344,0,80,0,119,0,0,240,0,1,0,2,0,1,0,0,0,0,1,0,7,1,5,0,3,1,1,0,5,4,2,0,1,0,3,0,0,4,0,160,0,106,0,44,0,0,0,0,56,0,27,186,95,0,60,128,180,0,24,36,81,0,10,0,17,0,0,26,0
KNOX,0,1,0,0,0,0,0,0,0,0,2,0,0,5,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,157,0,0,0,0,0,0,0,0,306,0,0,203,0,0,0,327,374,0,116,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,5,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,62,0,0,20,0,0,0,68,90,0,216,0,0,0,0,0,0,0,0,0,0
